Time [s],Value,Parity Error,Framing Error
0.491418500000000,0x40,,Error
0.491431000000000,0x04,,Error
0.491443500000000,0x00,,Error
0.491456500000000,0xAA,,Error
0.491470000000000,0x00,,Error
0.491482500000000,0x00,,Error
0.491495500000000,0xF5,,
0.491507500000000,0x00,,Error
0.515324500000000,0xFF,,
0.515336500000000,0x00,,Error
0.515350500000000,0x00,,Error
0.515363000000000,0x00,,Error
0.515375500000000,0x00,,Error
0.515388000000000,0x00,,Error
0.515400500000000,0x00,,Error
0.515413500000000,0xAA,,Error
0.515427000000000,0x00,,Error
0.515439500000000,0x00,,Error
0.515452500000000,0x55,,
0.515464500000000,0x00,,Error
0.539281500000000,0xBF,,Error
0.539295000000000,0x00,,Error
0.539307500000000,0x00,,Error
0.539320000000000,0x00,,Error
0.539332500000000,0x00,,Error
0.539345000000000,0x04,,Error
0.539357500000000,0x00,,Error
0.539370500000000,0xAA,,Error
0.539384000000000,0x00,,Error
0.539396500000000,0x00,,Error
0.539409500000000,0x55,,
0.539421500000000,0x00,,Error
0.563237000000000,0xAA,,Error
0.563249500000000,0x2A,,Error
0.563262000000000,0x00,,Error
0.563275000000000,0x55,,
0.563287000000000,0x00,,Error
0.563300000000000,0x5D,,
0.563312000000000,0x00,,Error
0.563324500000000,0x04,,
0.563336500000000,0x55,,
0.563348500000000,0x00,,Error
0.563361000000000,0x00,,Error
0.563373500000000,0x00,,Error
0.563386000000000,0x00,,Error
0.587194500000000,0x75,,
0.587206500000000,0x00,,Error
0.587219000000000,0x00,,Error
0.587232000000000,0xFD,,
0.587244000000000,0x00,,
0.587256000000000,0x5D,,
0.587268000000000,0x00,,Error
0.587280500000000,0x00,,Error
0.587293500000000,0x55,,
0.587305500000000,0x40,,
0.587318000000000,0x04,,Error
0.587332000000000,0x00,,Error
0.611151000000000,0xAA,,Error
0.611164500000000,0x00,,Error
0.611177000000000,0x14,,
0.611190000000000,0xBF,,Error
0.611203500000000,0x00,,Error
0.611216000000000,0x00,,Error
0.611228500000000,0x00,,Error
0.611241500000000,0x75,,
0.611253500000000,0x00,,Error
0.611266000000000,0x10,,Error
0.611279000000000,0xAA,,Error
0.611292500000000,0x00,,Error
0.635108000000000,0xAA,,Error
0.635121500000000,0x00,,Error
0.635134000000000,0x14,,
0.635147000000000,0xAB,,Error
0.635160500000000,0x00,,Error
0.635173000000000,0x00,,Error
0.635185500000000,0x00,,Error
0.635198500000000,0xF5,,
0.635210500000000,0x00,,Error
0.635223000000000,0x10,,Error
0.635236000000000,0xAA,,Error
0.635249500000000,0x00,,Error
0.659066500000000,0xAB,,Error
0.659080000000000,0x00,,Error
0.659092500000000,0x00,,Error
0.659105000000000,0x00,,Error
0.659117500000000,0x40,,Error
0.659130000000000,0x04,,Error
0.659142500000000,0x00,,Error
0.659155500000000,0xAA,,Error
0.659169000000000,0x00,,Error
0.659181500000000,0x00,,Error
0.659194500000000,0xD5,,
0.659206500000000,0x00,,Error
0.683022000000000,0xBF,,Error
0.683035500000000,0x00,,Error
0.683048000000000,0x00,,Error
0.683061000000000,0x55,,
0.683073000000000,0x00,,Error
0.683085500000000,0x04,,Error
0.683098000000000,0x00,,Error
0.683112500000000,0x75,,
0.683124500000000,0x00,,Error
0.683137000000000,0x00,,Error
0.683150000000000,0x55,,
0.683162000000000,0x00,,Error
0.706979000000000,0xFD,,
0.706991000000000,0x00,,Error
0.707003500000000,0x10,,Error
0.707016500000000,0xAA,,Error
0.707030000000000,0x00,,Error
0.707042500000000,0x00,,Error
0.707055000000000,0x00,,Error
0.707067500000000,0x45,,Error
0.707080000000000,0x00,,Error
0.707094000000000,0x00,,Error
0.707107000000000,0x55,,
0.707119000000000,0x00,,Error
0.707204500000000,0xAA,,
0.707217000000000,0x00,,
0.707229500000000,0x00,,
0.707242000000000,0x00,,
0.707254500000000,0x00,,
0.707267000000000,0x00,,
0.707280000000000,0x00,,
0.707292500000000,0x00,,
0.707305000000000,0x00,,
0.707317500000000,0x0F,,
0.707330000000000,0x00,,
0.707342500000000,0x0F,,
0.707355000000000,0x00,,
0.707367500000000,0x0F,,
0.707380000000000,0x00,,
0.707392500000000,0x0F,,
0.707405000000000,0x00,,
0.707417500000000,0xFF,,
0.707430000000000,0xFF,,
0.707443000000000,0xFF,,
0.707455500000000,0xFF,,
0.707468000000000,0xFF,,
0.707480500000000,0xFF,,
0.707493000000000,0xFF,,
0.707505500000000,0xFF,,
0.707518000000000,0xFF,,
0.707530500000000,0xFF,,
0.707543000000000,0xFF,,
0.707555500000000,0xFF,,
0.707568000000000,0xFF,,
0.707580500000000,0xFF,,
0.707593500000000,0xFF,,
0.707606000000000,0xFF,,
0.707618500000000,0xFF,,
0.707631000000000,0xFF,,
0.707643500000000,0xFF,,
0.707656000000000,0xFF,,
0.707668500000000,0xFF,,
0.707681000000000,0xFF,,
0.707693500000000,0xFF,,
0.707706000000000,0xFF,,
0.707718500000000,0xFF,,
0.707731000000000,0xFF,,
0.707744000000000,0xFF,,
0.707756500000000,0xFF,,
0.707769000000000,0xFF,,
0.707781500000000,0xFF,,
0.707794000000000,0xFF,,
0.707806500000000,0xFF,,
0.707819000000000,0xFF,,
0.707831500000000,0xFF,,
0.707844000000000,0xFF,,
0.707856500000000,0xFF,,
0.707869000000000,0xFF,,
0.707881500000000,0xFF,,
0.707894500000000,0xFF,,
0.707907000000000,0xFF,,
0.707919500000000,0x00,,Error
0.730936000000000,0xAA,,Error
0.730948500000000,0x0A,,Error
0.730961000000000,0x00,,Error
0.730974000000000,0x55,,
0.730986000000000,0x00,,Error
0.730999000000000,0x5D,,
0.731011000000000,0x00,,Error
0.731023500000000,0x04,,
0.731035500000000,0x55,,
0.731047500000000,0x00,,Error
0.731060000000000,0x00,,Error
0.731072500000000,0x00,,Error
0.731085000000000,0x00,,Error
0.754893000000000,0x75,,
0.754905000000000,0x00,,Error
0.754917500000000,0x10,,Error
0.754930500000000,0xAA,,Error
0.754944000000000,0x00,,Error
0.754956500000000,0x00,,Error
0.754969000000000,0x00,,Error
0.754981500000000,0x44,,Error
0.754994000000000,0x00,,Error
0.755008000000000,0x00,,Error
0.755021000000000,0x55,,
0.755033000000000,0x00,,Error
0.778850000000000,0x75,,
0.778862000000000,0x00,,Error
0.778874500000000,0x10,,Error
0.778887500000000,0xFF,,
0.778899500000000,0x00,,
0.778911500000000,0x5D,,
0.778923500000000,0x00,,Error
0.778936000000000,0x00,,Error
0.778949000000000,0xD5,,
0.778961000000000,0x40,,
0.778973500000000,0x04,,Error
0.778987500000000,0x00,,Error
0.802807000000000,0xAA,,Error
0.802820500000000,0x00,,Error
0.802833000000000,0x00,,Error
0.802846000000000,0xD5,,
0.802858000000000,0x40,,
0.802870500000000,0x04,,Error
0.802884500000000,0x00,,Error
0.802897500000000,0x75,,
0.802909500000000,0x00,,Error
0.802922000000000,0x10,,Error
0.802935000000000,0xFF,,
0.802947000000000,0x00,,Error
0.826764000000000,0x75,,
0.826776000000000,0x00,,Error
0.826788500000000,0x00,,Error
0.826801500000000,0x55,,
0.826813500000000,0x00,,
0.826826500000000,0xBF,,Error
0.826840000000000,0x00,,Error
0.826852500000000,0x00,,Error
0.826865000000000,0x00,,Error
0.826877500000000,0x00,,Error
0.826890000000000,0x01,,Error
0.826902500000000,0x00,,Error
0.850720500000000,0xAA,,Error
0.850733000000000,0x0A,,Error
0.850745500000000,0x00,,Error
0.850758500000000,0x55,,
0.850770500000000,0x00,,Error
0.850783500000000,0x5D,,
0.850795500000000,0x00,,Error
0.850808000000000,0x04,,
0.850820000000000,0x55,,
0.850832000000000,0x00,,Error
0.850844500000000,0x00,,Error
0.850857000000000,0x00,,Error
0.850869500000000,0x00,,Error
0.874677500000000,0xAA,,Error
0.874690000000000,0xAA,,Error
0.874702500000000,0x0A,,Error
0.874715500000000,0x55,,
0.874727500000000,0x00,,Error
0.874740500000000,0x5D,,
0.874752500000000,0x00,,Error
0.874765000000000,0x04,,
0.874777500000000,0x00,,Error
0.874791500000000,0x00,,Error
0.874804000000000,0x00,,Error
0.874816500000000,0x00,,Error
0.898634500000000,0xAA,,Error
0.898648000000000,0x00,,Error
0.898660500000000,0x14,,
0.898673500000000,0xFF,,
0.898685500000000,0x40,,
0.898697500000000,0x5D,,
0.898709500000000,0x00,,Error
